source,target,value
CPSC 203,CPSC 368,0.33
CPSC 210,CPSC 368,0.33
CPEN 221,CPSC 368,0.33
CPSC 302,CPSC 402,0.33
CPSC 303,CPSC 402,0.33
MATH 307,CPSC 402,0.33
CPSC 304,CPSC 404,1
CPSC 213,CPSC 404,0.33
CPSC 261,CPSC 404,0.33
CPEN 212,CPSC 404,0.33
CPSC 302,CPSC 406,0.33
CPSC 303,CPSC 406,0.33
MATH 307,CPSC 406,0.33
CPSC 310,CPSC 410,0.5
CPEN 321,CPSC 410,0.5
CPEN 331,CPSC 410,0.5
CPSC 213,CPSC 411,1
CPSC 221,CPSC 411,1
CPSC 311,CPSC 411,1
CPSC 313,CPSC 415,0.5
CPEN 331,CPSC 415,0.5
CPSC 313,CPSC 416,0.5
CPEN 331,CPSC 416,0.5
CPSC 317,CPSC 416,0.5
ELEC 331,CPSC 416,0.5
CPSC 313,CPSC 417,1
CPSC 317,CPSC 417,1
STAT 200,CPSC 417,0.25
STAT 201,CPSC 417,0.25
STAT 241,CPSC 417,0.25
STAT 251,CPSC 417,0.25
CPSC 320,CPSC 418,1
CPSC 261,CPSC 418,0.25
CPSC 313,CPSC 418,0.25
CPEN 212,CPSC 418,0.25
CPEN 411,CPSC 418,0.25
CPSC 320,CPSC 420,1
CPSC 221,CPSC 421,1
CPSC 322,CPSC 422,1
CPSC 320,CPSC 424,1
MATH 152,CPSC 424,0.33
MATH 221,CPSC 424,0.33
MATH 223,CPSC 424,0.33
MATH 200,CPSC 424,0.25
MATH 217,CPSC 424,0.25
MATH 226,CPSC 424,0.25
MATH 253,CPSC 424,0.25
CPSC 221,CPSC 425,1
MATH 200,CPSC 425,1
MATH 221,CPSC 425,1
CPSC 314,CPSC 426,1
CPSC 221,CPSC 427,1
MATH 200,CPSC 427,0.25
MATH 217,CPSC 427,0.25
MATH 226,CPSC 427,0.25
MATH 253,CPSC 427,0.25
MATH 152,CPSC 427,0.33
MATH 221,CPSC 427,0.33
MATH 223,CPSC 427,0.33
CPSC 320,CPSC 440,1
CPSC 340,CPSC 440,1
CPSC 344,CPSC 444,1
STAT 200,CPSC 444,0.06
STAT 201,CPSC 444,0.06
STAT 203,CPSC 444,0.06
STAT 241,CPSC 444,0.06
STAT 251,CPSC 444,0.06
BIOL 300,CPSC 444,0.06
COMM 291,CPSC 444,0.06
ECON 325,CPSC 444,0.06
ECON 327,CPSC 444,0.06
FRST 231,CPSC 444,0.06
GEOG 374,CPSC 444,0.06
KIN 206,CPSC 444,0.06
KIN 371,CPSC 444,0.06
POLI 380,CPSC 444,0.06
PSYC 218,CPSC 444,0.06
PSYC 278,CPSC 444,0.06
PSYC 366,CPSC 444,0.06
SOCI 328,CPSC 444,0.06
CPSC 320,CPSC 445,1
BMEG 250,CPSC 445,0.5
CPSC 310,CPSC 447,0.5
CPEN 321,CPSC 447,0.5
CPSC 349,CPSC 449,1
CPSC 310,CPSC 455,0.5
CPEN 321,CPSC 455,0.5
CPSC 221,CPSC 491,1
CPSC 310,CPSC 491,1
CPSC 344,CPSC 491,1
CRWR 201,CRWR 301,1
CRWR 213,CRWR 302,1
CRWR 203,CRWR 303,1
CRWR 205,CRWR 305,1
CRWR 206,CRWR 306,1
CRWR 200,CRWR 307,0.5
CRWR 202,CRWR 307,0.5
CRWR 208,CRWR 308,1
CRWR 209,CRWR 309,1
CRWR 200,CRWR 310,1
CRWR 200,CRWR 311,0.5
CRWR 202,CRWR 311,0.5
CRWR 213,CRWR 312,1
CRWR 206,CRWR 316,1
CRWR 200,CRWR 319,1
CRWR 209,CRWR 319,1
CRWR 301,CRWR 351,1
CRWR 303,CRWR 353,1
CRWR 305,CRWR 355,1
CRWR 306,CRWR 356,1
CRWR 308,CRWR 358,1
CRWR 309,CRWR 359,1
CRWR 415,CRWR 460,1
GRSJ 101,CSIS 200,1
GRSJ 101,CSIS 301,1
DHYG 405,DENT 407,1
DHYG 435,DENT 407,1
DENT 410,DENT 420,1
DENT 420,DENT 430,1
DENT 430,DENT 440,1
DES 110,DES 201,0.5
VISA 180,DES 201,0.5
DES 201,DES 202,1
DES 110,DES 211,0.5
VISA 180,DES 211,0.5
DES 211,DES 212,1
DES 202,DES 301,1
DES 301,DES 302,1
DES 320,DES 321,1
DES 320,DES 322,1
DES 320,DES 323,1
DES 231,DES 330,1
DES 232,DES 330,1
DES 302,DES 350,1
DES 302,DES 401,1
DES 401,DES 402,1
DES 401,DES 403,1
DES 321,DES 422,0.33
DES 322,DES 422,0.33
DES 323,DES 422,0.33
DES 341,DES 442,1
DES 442,DES 443,1
DES 443,DES 444,1
BIOL 153,DHYG 206,1
DHYG 108,DHYG 206,1
DHYG 108,DHYG 208,1
DHYG 110,DHYG 210,1
DHYG 208,DHYG 308,1
DHYG 210,DHYG 310,1
DHYG 400,DHYG 406,1
DHYG 401,DHYG 406,1
DHYG 461,DHYG 406,1
DHYG 310,DHYG 410,1
DHYG 462,DHYG 412,1
DHYG 412,DHYG 462,1
DHYG 401,DHYG 461,1
DHYG 461,DHYG 401,1
DHYG 461,DHYG 462,1
DHYG 401,DHYG 462,1
DHYG 462,DHYG 401,1
MATH 12,DSCI 100,1
DSCI 100,DSCI 310,1
CPSC 203,DSCI 310,0.17
CPSC 210,DSCI 310,0.17
CPEN 221,DSCI 310,0.17
MATH 210,DSCI 310,0.25
ECON 323,DSCI 310,0.25
CPSC 107,DSCI 310,0.25
CPSC 110,DSCI 310,0.25
STAT 201,DSCI 320,1
CPSC 203,DSCI 320,0.33
CPSC 210,DSCI 320,0.33
CPEN 221,DSCI 320,0.33
ECED 400,ECED 490,1
ECED 438,ECED 490,1
ECED 400,ECED 491,1
ECED 401,ECED 491,1
ECED 438,ECED 491,1
ECED 490,ECED 491,1
EPSE 406,ECED 491,1
ECED 400,ECED 495,1
ECED 401,ECED 495,1
ECED 406,ECED 495,1
ECED 407,ECED 495,1
ECED 438,ECED 495,1
ECED 490,ECED 495,1
ECED 491,ECED 495,1
EPSE 406,ECED 495,1
ECON 101,ECON 204,0.5
ECON 310,ECON 204,0.5
ECON 102,ECON 204,0.5
ECON 311,ECON 204,0.5
MATH 100,ECON 204,0.14
MATH 102,ECON 204,0.14
MATH 104,ECON 204,0.14
MATH 110,ECON 204,0.14
MATH 120,ECON 204,0.14
MATH 180,ECON 204,0.14
MATH 184,ECON 204,0.14
MATH 101,ECON 204,0.25
MATH 103,ECON 204,0.25
MATH 105,ECON 204,0.25
MATH 121,ECON 204,0.25
ECON 101,ECON 210,1
ECON 102,ECON 210,1
ECON 101,ECON 211,1
ECON 102,ECON 211,1
ECON 101,ECON 221,1
ECON 102,ECON 221,1
ECON 101,ECON 226,1
ECON 102,ECON 226,1
ECON 101,ECON 234,1
ECON 102,ECON 234,1
ECON 101,ECON 255,1
ECON 102,ECON 255,1
ECON 101,ECON 301,0.5
ECON 310,ECON 301,0.5
MATH 100,ECON 301,0.14
MATH 102,ECON 301,0.14
MATH 104,ECON 301,0.14
MATH 110,ECON 301,0.14
MATH 120,ECON 301,0.14
MATH 180,ECON 301,0.14
MATH 184,ECON 301,0.14
MATH 101,ECON 301,0.25
MATH 103,ECON 301,0.25
MATH 105,ECON 301,0.25
MATH 121,ECON 301,0.25
ECON 101,ECON 302,0.5
ECON 310,ECON 302,0.5
ECON 102,ECON 302,0.5
ECON 311,ECON 302,0.5
MATH 100,ECON 302,0.14
MATH 102,ECON 302,0.14
MATH 104,ECON 302,0.14
MATH 110,ECON 302,0.14
MATH 120,ECON 302,0.14
MATH 180,ECON 302,0.14
MATH 184,ECON 302,0.14
MATH 101,ECON 302,0.25
MATH 103,ECON 302,0.25
MATH 105,ECON 302,0.25
MATH 121,ECON 302,0.25
ECON 301,ECON 303,0.5
ECON 304,ECON 303,0.5
ECON 101,ECON 304,0.5
ECON 310,ECON 304,0.5
MATH 100,ECON 304,0.14
MATH 102,ECON 304,0.14
MATH 104,ECON 304,0.14
MATH 110,ECON 304,0.14
MATH 120,ECON 304,0.14
MATH 180,ECON 304,0.14
MATH 184,ECON 304,0.14
MATH 101,ECON 304,0.25
MATH 103,ECON 304,0.25
MATH 105,ECON 304,0.25
MATH 121,ECON 304,0.25
ECON 101,ECON 305,0.5
ECON 310,ECON 305,0.5
ECON 102,ECON 305,0.5
ECON 311,ECON 305,0.5
MATH 100,ECON 305,0.14
MATH 102,ECON 305,0.14
MATH 104,ECON 305,0.14
MATH 110,ECON 305,0.14
MATH 120,ECON 305,0.14
MATH 180,ECON 305,0.14
MATH 184,ECON 305,0.14
MATH 101,ECON 305,0.25
MATH 103,ECON 305,0.25
MATH 105,ECON 305,0.25
MATH 121,ECON 305,0.25
ECON 304,ECON 306,0.5
ECON 305,ECON 307,0.5
ECON 101,ECON 308,0.5
ECON 310,ECON 308,0.5
ECON 102,ECON 308,0.5
ECON 311,ECON 308,0.5
MATH 100,ECON 308,0.14
MATH 102,ECON 308,0.14
MATH 104,ECON 308,0.14
MATH 110,ECON 308,0.14
MATH 120,ECON 308,0.14
MATH 180,ECON 308,0.14
MATH 184,ECON 308,0.14
MATH 101,ECON 308,0.25
MATH 103,ECON 308,0.25
MATH 105,ECON 308,0.25
MATH 121,ECON 308,0.25
ECON 101,ECON 309,0.5
ECON 310,ECON 309,0.5
ECON 102,ECON 309,0.5
ECON 311,ECON 309,0.5
MATH 100,ECON 309,0.14
MATH 102,ECON 309,0.14
MATH 104,ECON 309,0.14
MATH 110,ECON 309,0.14
MATH 120,ECON 309,0.14
MATH 180,ECON 309,0.14
MATH 184,ECON 309,0.14
MATH 101,ECON 309,0.25
MATH 103,ECON 309,0.25
MATH 105,ECON 309,0.25
MATH 121,ECON 309,0.25
ECON 101,ECON 312,1
ECON 102,ECON 312,1
ECON 101,ECON 313,1
ECON 102,ECON 313,1
ECON 101,ECON 315,0.5
ECON 310,ECON 315,0.5
ECON 102,ECON 315,0.5
ECON 311,ECON 315,0.5
MATH 100,ECON 315,0.14
MATH 102,ECON 315,0.14
MATH 104,ECON 315,0.14
MATH 110,ECON 315,0.14
MATH 120,ECON 315,0.14
MATH 180,ECON 315,0.14
MATH 184,ECON 315,0.14
MATH 101,ECON 315,0.25
MATH 103,ECON 315,0.25
MATH 105,ECON 315,0.25
MATH 121,ECON 315,0.25
ECON 301,ECON 316,0.33
ECON 304,ECON 316,0.33
ECON 315,ECON 316,0.33
ECON 101,ECON 317,1
ECON 102,ECON 317,1
ECON 101,ECON 318,1
ECON 102,ECON 318,1
ECON 101,ECON 319,1
ECON 102,ECON 319,1
ECON 101,ECON 320,0.5
ECON 310,ECON 320,0.5
ECON 102,ECON 320,0.5
ECON 311,ECON 320,0.5
MATH 100,ECON 320,0.14
MATH 102,ECON 320,0.14
MATH 104,ECON 320,0.14
MATH 110,ECON 320,0.14
MATH 120,ECON 320,0.14
MATH 180,ECON 320,0.14
MATH 184,ECON 320,0.14
MATH 101,ECON 320,0.25
MATH 103,ECON 320,0.25
MATH 105,ECON 320,0.25
MATH 121,ECON 320,0.25
ECON 101,ECON 323,0.5
ECON 310,ECON 323,0.5
MATH 100,ECON 323,0.14
MATH 102,ECON 323,0.14
MATH 104,ECON 323,0.14
MATH 110,ECON 323,0.14
MATH 120,ECON 323,0.14
MATH 180,ECON 323,0.14
MATH 184,ECON 323,0.14
MATH 101,ECON 323,0.2
MATH 103,ECON 323,0.2
MATH 105,ECON 323,0.2
MATH 121,ECON 323,0.2
MATH 221,ECON 323,0.2
ECON 101,ECON 325,0.5
ECON 310,ECON 325,0.5
ECON 102,ECON 325,0.5
ECON 311,ECON 325,0.5
MATH 100,ECON 325,0.14
MATH 102,ECON 325,0.14
MATH 104,ECON 325,0.14
MATH 110,ECON 325,0.14
MATH 120,ECON 325,0.14
MATH 180,ECON 325,0.14
MATH 184,ECON 325,0.14
MATH 101,ECON 325,0.25
MATH 103,ECON 325,0.25
MATH 105,ECON 325,0.25
MATH 121,ECON 325,0.25
ECON 325,ECON 326,0.5
ECON 327,ECON 326,0.5
ECON 101,ECON 327,0.5
ECON 310,ECON 327,0.5
ECON 102,ECON 327,0.5
ECON 311,ECON 327,0.5
MATH 100,ECON 327,0.14
MATH 102,ECON 327,0.14
MATH 104,ECON 327,0.14
MATH 110,ECON 327,0.14
MATH 120,ECON 327,0.14
MATH 180,ECON 327,0.14
MATH 184,ECON 327,0.14
MATH 101,ECON 327,0.25
MATH 103,ECON 327,0.25
MATH 105,ECON 327,0.25
MATH 121,ECON 327,0.25
ECON 325,ECON 328,0.5
ECON 327,ECON 328,0.5
ECON 101,ECON 334,1
ECON 102,ECON 334,1
ECON 101,ECON 335,1
ECON 102,ECON 335,1
ECON 101,ECON 336,1
ECON 102,ECON 336,1
ECON 101,ECON 337,1
ECON 102,ECON 337,1
ECON 101,ECON 339,1
ECON 102,ECON 339,1
ECON 101,ECON 341,1
ECON 102,ECON 341,1
ECON 101,ECON 342,1
ECON 102,ECON 342,1
ECON 101,ECON 343,1
ECON 102,ECON 343,1
ECON 101,ECON 345,1
ECON 102,ECON 345,1
ECON 101,ECON 350,1
ECON 102,ECON 350,1
ECON 101,ECON 351,1
ECON 102,ECON 351,1
ECON 101,ECON 352,1
ECON 102,ECON 352,1
ECON 101,ECON 355,1
ECON 102,ECON 355,1
ECON 101,ECON 356,1
ECON 102,ECON 356,1
ECON 101,ECON 360,1
ECON 102,ECON 360,1
ECON 101,ECON 361,1
ECON 102,ECON 361,1
ECON 101,ECON 364,1
ECON 102,ECON 364,1
ECON 101,ECON 365,1
ECON 102,ECON 365,1
ECON 101,ECON 367,1
ECON 102,ECON 367,1
ECON 101,ECON 370,1
ECON 102,ECON 370,1
ECON 101,ECON 371,1
ECON 102,ECON 371,1
ECON 101,ECON 374,1
ECON 102,ECON 374,1
ECON 101,ECON 384,1
ECON 102,ECON 384,1
ECON 101,ECON 387,1
ECON 102,ECON 387,1
ECON 101,ECON 390,0.5
ECON 310,ECON 390,0.5
ECON 102,ECON 390,0.5
ECON 311,ECON 390,0.5
MATH 100,ECON 390,0.14
MATH 102,ECON 390,0.14
MATH 104,ECON 390,0.14
MATH 110,ECON 390,0.14
MATH 120,ECON 390,0.14
MATH 180,ECON 390,0.14
MATH 184,ECON 390,0.14
ECON 101,ECON 398,0.25
ECON 310,ECON 398,0.25
ECON 102,ECON 398,0.25
ECON 311,ECON 398,0.25
STAT 200,ECON 398,0.1
STAT 241,ECON 398,0.1
STAT 251,ECON 398,0.1
COMM 291,ECON 398,0.1
FRST 231,ECON 398,0.1
ECON 226,ECON 398,0.13
ECON 325,ECON 398,0.13
ECON 326,ECON 398,0.13
ECON 327,ECON 398,0.13
ECON 301,ECON 406,0.33
ECON 304,ECON 406,0.33
ECON 315,ECON 406,0.33
ECON 303,ECON 406,0.33
ECON 306,ECON 406,0.33
ECON 316,ECON 406,0.33
ECON 301,ECON 407,0.5
ECON 304,ECON 407,0.5
ECON 302,ECON 407,0.5
ECON 305,ECON 407,0.5
ECON 303,ECON 407,0.5
ECON 306,ECON 407,0.5
ECON 301,ECON 417,0.33
ECON 304,ECON 417,0.33
ECON 315,ECON 417,0.33
MATH 200,ECON 420,1
ECON 301,ECON 420,0.33
ECON 304,ECON 420,0.33
ECON 315,ECON 420,0.33
ECON 303,ECON 420,0.33
ECON 306,ECON 420,0.33
ECON 316,ECON 420,0.33
ECON 301,ECON 421,0.33
ECON 304,ECON 421,0.33
ECON 315,ECON 421,0.33
ECON 325,ECON 425,0.5
ECON 327,ECON 425,0.5
ECON 326,ECON 425,0.5
ECON 328,ECON 425,0.5
ECON 425,ECON 426,1
ECON 304,ECON 436,0.33
ECON 301,ECON 436,0.33
ECON 315,ECON 436,0.33
ECON 302,ECON 436,0.33
ECON 305,ECON 436,0.33
ECON 309,ECON 436,0.33
ECON 301,ECON 441,0.33
ECON 304,ECON 441,0.33
ECON 315,ECON 441,0.33
ECON 301,ECON 442,0.33
ECON 304,ECON 442,0.33
ECON 315,ECON 442,0.33
ECON 301,ECON 444,0.33
ECON 304,ECON 444,0.33
ECON 315,ECON 444,0.33
ECON 301,ECON 447,0.33
ECON 304,ECON 447,0.33
ECON 315,ECON 447,0.33
ECON 302,ECON 447,0.33
ECON 305,ECON 447,0.33
ECON 309,ECON 447,0.33
ECON 301,ECON 450,0.33
ECON 304,ECON 450,0.33
ECON 315,ECON 450,0.33
ECON 301,ECON 451,0.33
ECON 304,ECON 451,0.33
ECON 315,ECON 451,0.33
ECON 301,ECON 455,0.33
ECON 304,ECON 455,0.33
ECON 315,ECON 455,0.33
ECON 302,ECON 456,0.33
ECON 305,ECON 456,0.33
ECON 309,ECON 456,0.33
ECON 101,ECON 457,1
ECON 102,ECON 457,1
ECON 301,ECON 460,0.33
ECON 304,ECON 460,0.33
ECON 315,ECON 460,0.33
ECON 302,ECON 460,0.33
ECON 305,ECON 460,0.33
ECON 309,ECON 460,0.33
ECON 301,ECON 461,0.33
ECON 304,ECON 461,0.33
ECON 315,ECON 461,0.33
ECON 302,ECON 461,0.33
ECON 305,ECON 461,0.33
ECON 309,ECON 461,0.33
ECON 301,ECON 465,0.5
ECON 304,ECON 465,0.5
ECON 301,ECON 466,0.33
ECON 304,ECON 466,0.33
ECON 315,ECON 466,0.33
ECON 301,ECON 468,0.33
ECON 304,ECON 468,0.33
ECON 315,ECON 468,0.33
ECON 301,ECON 471,0.33
ECON 304,ECON 471,0.33
ECON 315,ECON 471,0.33
ECON 301,ECON 472,0.33
ECON 304,ECON 472,0.33
ECON 315,ECON 472,0.33
COMM 295,ECON 480,0.25
ECON 301,ECON 480,0.25
ECON 304,ECON 480,0.25
ECON 315,ECON 480,0.25
ECON 301,ECON 482,0.33
ECON 304,ECON 482,0.33
ECON 315,ECON 482,0.33
ECON 301,ECON 485,0.33
ECON 304,ECON 485,0.33
ECON 315,ECON 485,0.33
ECON 302,ECON 485,0.33
ECON 305,ECON 485,0.33
ECON 309,ECON 485,0.33
ECON 325,ECON 485,0.5
ECON 327,ECON 485,0.5
ECON 326,ECON 485,0.5
ECON 328,ECON 485,0.5
ECON 301,ECON 487,0.33
ECON 304,ECON 487,0.33
ECON 315,ECON 487,0.33
ECON 325,ECON 490,1
ECON 326,ECON 490,1
ECON 301,ECON 490,0.5
ECON 304,ECON 490,0.5
ECON 302,ECON 490,0.5
ECON 305,ECON 490,0.5
ECON 328,ECON 493,1
ECON 493,ECON 494,1
EDCP 305,EDCP 306,1
EDCP 316,EDCP 317,1
EDCP 340,EDCP 343,0.5
EDCP 342,EDCP 343,0.5
EDCP 340,EDCP 344,0.5
EDCP 342,EDCP 344,0.5
EDCP 374,EDCP 377,1
EDCP 308,EDCP 410,0.5
EDCP 308,EDCP 411,0.5
EDCP 305,EDCP 413,0.5
EDCP 308,EDCP 414,0.5
EPSE 312,EDCP 415,0.5
EPSE 317,EDCP 415,0.5
EDCP 309,EDCP 417,0.25
EDCP 416,EDCP 417,0.25
EDCP 411,EDCP 417,0.25
EDCP 414,EDCP 417,0.25
EDCP 417,EDCP 418,1
EDCP 418,EDCP 419,1
EDCP 331,EDCP 430,1
EDCP 340,EDCP 441,0.5
EDCP 342,EDCP 441,0.5
EDCP 391,EDCP 491,1
ASTU 210,EDUC 211,0.5
EDUC 210,EDUC 211,0.5
EDUC 315,EDUC 321,1
EDUC 315,EDUC 323,1
LLED 489,EDUC 342,0.33
LING 200,EDUC 342,0.33
LING 400,EDUC 342,0.33
EDUC 143,EDUC 344,1
EDUC 244,EDUC 344,1
EDUC 418,EDUC 430,0.33
EDUC 419,EDUC 430,0.33
EDUC 421,EDUC 430,0.33
EDUC 450,EDUC 451,1
EDUC 451,EDUC 452,1
MATH 101,ELEC 201,1
PHYS 108,ELEC 201,0.33
PHYS 118,ELEC 201,0.33
PHYS 158,ELEC 201,0.33
MATH 255,ELEC 201,0.33
ELEC 201,MATH 255,0.33
MATH 256,ELEC 201,0.33
ELEC 201,MATH 256,0.33
MATH 265,ELEC 201,0.33
ELEC 201,MATH 265,0.33
PHYS 158,ELEC 202,1
MATH 101,ELEC 202,1
ELEC 201,ELEC 202,0.5
ELEC 203,ELEC 202,0.5
MATH 255,ELEC 202,0.5
MATH 256,ELEC 202,0.5
MATH 255,ELEC 203,0.5
ELEC 203,MATH 255,0.5
MATH 256,ELEC 203,0.5
ELEC 203,MATH 256,0.5
MATH 152,ELEC 204,1
PHYS 108,ELEC 204,0.33
PHYS 118,ELEC 204,0.33
PHYS 158,ELEC 204,0.33
MATH 256,ELEC 204,0.5
ELEC 204,MATH 256,0.5
MATH 255,ELEC 204,0.5
ELEC 204,MATH 255,0.5
ELEC 204,ELEC 205,1
ELEC 205,ELEC 204,1
MATH 263,ELEC 211,0.5
MATH 253,ELEC 211,0.5
PHYS 108,ELEC 211,0.33
PHYS 118,ELEC 211,0.33
PHYS 158,ELEC 211,0.33
MATH 264,ELEC 211,1
ELEC 211,MATH 264,1
MATH 256,ELEC 221,0.5
MATH 255,ELEC 221,0.5
ELEC 202,ELEC 271,1
ELEC 271,ELEC 202,1
APSC 176,ELEC 281,0.14
ENGL 110,ELEC 281,0.14
ENGL 111,ELEC 281,0.14
ENGL 112,ELEC 281,0.14
ENGL 120,ELEC 281,0.14
ENGL 121,ELEC 281,0.14
WRDS 150,ELEC 281,0.14
ELEC 201,ELEC 291,1
CPEN 211,ELEC 291,1
ELEC 201,ELEC 292,1
ELEC 292,ELEC 201,1
CPEN 211,ELEC 292,1
ELEC 292,CPEN 211,1
ELEC 221,ELEC 292,1
ELEC 292,ELEC 221,1
ELEC 201,ELEC 301,0.17
ELEC 203,ELEC 301,0.17
ELEC 202,ELEC 301,0.17
ELEC 204,ELEC 301,0.5
ELEC 201,ELEC 302,0.25
ELEC 203,ELEC 302,0.25
ELEC 204,ELEC 302,0.25
MECH 221,ELEC 302,0.25
ELEC 211,ELEC 311,1
MATH 101,ELEC 311,0.33
MATH 263,ELEC 311,0.33
MATH 265,ELEC 311,0.33
MATH 267,ELEC 311,0.33
MATH 253,ELEC 311,0.33
MATH 264,ELEC 311,0.33
MATH 256,ELEC 311,0.33
ELEC 211,ELEC 315,0.5
ENPH 253,ELEC 315,0.5
ELEC 221,ELEC 321,0.5
STAT 305,ELEC 321,0.5
ELEC 221,ELEC 331,0.25
CPEN 212,ELEC 331,0.25
CPSC 261,ELEC 331,0.25
CPEN 331,ELEC 331,0.25
ELEC 202,ELEC 341,0.5
ELEC 204,ELEC 341,0.5
PHYS 170,ELEC 342,1
ELEC 202,ELEC 342,1
ELEC 202,ELEC 343,0.5
ELEC 302,ELEC 343,0.5
ELEC 201,ELEC 344,0.25
ELEC 203,ELEC 344,0.25
ELEC 204,ELEC 344,0.25
MECH 221,ELEC 344,0.25
ELEC 202,ELEC 352,1
ELEC 342,ELEC 352,1
MATH 265,ELEC 371,0.5
MATH 267,ELEC 371,0.5
MATH 256,ELEC 371,0.5
ELEC 202,ELEC 371,0.5
ELEC 292,ELEC 371,0.5
BMEG 220,ELEC 371,0.5
BMEG 257,ELEC 371,0.5
CPEN 291,ELEC 391,0.33
ELEC 291,ELEC 391,0.33
ELEC 292,ELEC 391,0.33
ELEC 301,ELEC 401,0.5
ELEC 302,ELEC 401,0.5
CPEN 311,ELEC 402,1
ELEC 402,ELEC 403,1
ELEC 221,ELEC 404,1
ELEC 401,ELEC 404,1
ELEC 404,ELEC 401,1
ELEC 311,ELEC 411,0.33
PHYS 301,ELEC 411,0.33
PHYS 354,ELEC 411,0.33
ELEC 315,ELEC 415,0.5
PHYS 304,ELEC 415,0.5
ELEC 221,ELEC 421,1
ELEC 371,ELEC 422,1
ELEC 341,ELEC 422,1
ELEC 221,ELEC 422,1
CPSC 260,ELEC 422,0.5
CPSC 259,ELEC 422,0.5
STAT 251,ELEC 422,0.25
MATH 318,ELEC 422,0.25
MATH 302,ELEC 422,0.25
STAT 302,ELEC 422,0.25
ELEC 221,ELEC 431,1
ELEC 321,ELEC 431,0.17
MATH 302,ELEC 431,0.17
MATH 318,ELEC 431,0.17
STAT 251,ELEC 431,0.17
STAT 302,ELEC 431,0.17
STAT 357,ELEC 431,0.17
ELEC 431,ELEC 432,1
ELEC 221,ELEC 434,1
ELEC 341,ELEC 441,1
PHYS 170,ELEC 442,1
ELEC 301,ELEC 451,0.33
ELEC 344,ELEC 451,0.33
ELEC 342,ELEC 451,0.33
ELEC 342,ELEC 452,0.5
ELEC 343,ELEC 452,0.5
ELEC 342,ELEC 453,1
ELEC 453,ELEC 454,1
ELEC 453,ELEC 455,1
ELEC 342,ELEC 455,1
CHEM 312,ELEC 461,0.25
ELEC 315,ELEC 461,0.25
PHYS 250,ELEC 461,0.25
PHYS 304,ELEC 461,0.25
APSC 201,ELEC 461,0.5
ELEC 461,APSC 201,0.5
MTRL 478,ELEC 461,0.5
ELEC 461,MTRL 478,0.5
ELEC 371,ELEC 471,1
ELEC 341,ELEC 471,1
ELEC 311,ELEC 471,1
ELEC 221,ELEC 471,1
ELEC 201,ELEC 472,1
ELEC 202,ELEC 472,1
CPEN 211,ELEC 472,1
ELEC 341,ELEC 472,1
ELEC 391,ELEC 491,1
ELEC 391,ELEC 494,1
ENDS 301,ENDS 302,1
ENDS 302,ENDS 401,1
ENDS 401,ENDS 402,1
ARTS 001,ENGL 200,0.17
ASTU 100,ENGL 200,0.17
ASTU 101,ENGL 200,0.17
WRDS 150,ENGL 200,0.17
WRDS 350,ENGL 200,0.17
ARTS 001,ENGL 220,0.17
ASTU 100,ENGL 220,0.17
ASTU 101,ENGL 220,0.17
WRDS 150,ENGL 220,0.17
WRDS 350,ENGL 220,0.17
ARTS 001,ENGL 221,0.17
ASTU 100,ENGL 221,0.17
ASTU 101,ENGL 221,0.17
WRDS 150,ENGL 221,0.17
WRDS 350,ENGL 221,0.17
ARTS 001,ENGL 222,0.17
ASTU 100,ENGL 222,0.17
ASTU 101,ENGL 222,0.17
WRDS 150,ENGL 222,0.17
WRDS 350,ENGL 222,0.17
ARTS 001,ENGL 223,0.17
ASTU 100,ENGL 223,0.17
ASTU 101,ENGL 223,0.17
WRDS 150,ENGL 223,0.17
WRDS 350,ENGL 223,0.17
ARTS 001,ENGL 224,0.17
ASTU 100,ENGL 224,0.17
ASTU 101,ENGL 224,0.17
WRDS 150,ENGL 224,0.17
WRDS 350,ENGL 224,0.17
ARTS 001,ENGL 225,0.17
ASTU 100,ENGL 225,0.17
ASTU 101,ENGL 225,0.17
WRDS 150,ENGL 225,0.17
WRDS 350,ENGL 225,0.17
ARTS 001,ENGL 226,0.17
ASTU 100,ENGL 226,0.17
ASTU 101,ENGL 226,0.17
WRDS 150,ENGL 226,0.17
WRDS 350,ENGL 226,0.17
ARTS 001,ENGL 227,0.17
ASTU 100,ENGL 227,0.17
ASTU 101,ENGL 227,0.17
WRDS 150,ENGL 227,0.17
WRDS 350,ENGL 227,0.17
ARTS 001,ENGL 228,0.17
ASTU 100,ENGL 228,0.17
ASTU 101,ENGL 228,0.17
WRDS 150,ENGL 228,0.17
WRDS 350,ENGL 228,0.17
ARTS 001,ENGL 229,0.17
ASTU 100,ENGL 229,0.17
ASTU 101,ENGL 229,0.17
WRDS 150,ENGL 229,0.17
WRDS 350,ENGL 229,0.17
ARTS 001,ENGL 231,0.17
ASTU 100,ENGL 231,0.17
ASTU 101,ENGL 231,0.17
WRDS 150,ENGL 231,0.17
WRDS 350,ENGL 231,0.17
ARTS 001,ENGL 232,0.17
ASTU 100,ENGL 232,0.17
ASTU 101,ENGL 232,0.17
WRDS 150,ENGL 232,0.17
WRDS 350,ENGL 232,0.17
ARTS 001,ENGL 241,0.17
ASTU 100,ENGL 241,0.17
ASTU 101,ENGL 241,0.17
WRDS 150,ENGL 241,0.17
WRDS 350,ENGL 241,0.17
ARTS 001,ENGL 242,0.17
ASTU 100,ENGL 242,0.17
